authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Bill McCarthy,"February 15, 2021","“You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.”",Laura Ingraham,barely-true,Fake,0
Paul Specht,"February 12, 2021",“Almost 40% of borrowers with student loan debt didn't finish their degree.”,Alma Adams,mostly-true,Real,1
Daniel Funke,"February 12, 2021","After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",Michael van der Veen,barely-true,Fake,0
Noah Y.,"• February 12,",Says Joe Biden “is trying to shut FL’s border.”,Ron DeSantis,false,Fake,0
Brandon Mulder,"February 12, 2021",“Innocent lives will be saved” by ending taxpayer funding of Planned Parenthood.,Greg Abbott,false,Fake,0
Eric Litke,"February 12, 2021",November election data shows a “stunning anomaly in the rejection rate of absentee ballots.”,Dan O'Donnell,false,Fake,0
Kiannah Sepeda-Miller,"February 12, 2021","“Pritzker’s Hierarchy of Vaccine Priorities” puts prisoners, politicians and college students ahead of “individuals with high-risk health factors, and everyone else.”",Illinois Republican Party,half-true,Real,1
Haley BeMiller,"February 12, 2021","“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",Gordon Hintz,true,Real,1
Carmen Heredia,"• February 12,","South Dakota ""did have tragedies and we did have losses. But we also got through (the pandemic) better than virtually every other state.""",Kristi Noem,barely-true,Fake,0
Samantha Putterman,"February 12, 2021",“President Biden is raising the prices of insulin and Epi-Pens on those with high costs and the uninsured.”,Mark Walker,barely-true,Fake,0
Noah Y.,"• February 11,",“Manipulated Video used in House Impeachment Looks to Have VIOLATED House Rules”,Bloggers,false,Fake,0
Daniel Funke,"February 11, 2021","Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",Bloggers,pants-fire,Fake,0
D.L. Davis,"February 11, 2021","""The committee that advises @GovEvers and his department tasked with leading during this pandemic is recommending allowing prisoners to receive the vaccine before 65 year old grandma?”",Mark Born,half-true,Real,1
Chris Nichols,"February 11, 2021",Raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”,Kevin McCarthy,false,Fake,0
Cassidey Kavathas,"February 11, 2021",“No state gets back less from Washington than New York state.”,Andrew Cuomo,mostly-true,Real,1
Tom Kertscher,"February 11, 2021","""The Clinton Foundation folded.”",Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"February 10, 2021","Says Gorilla Glue tweeted, “Do not use our products on your f------ hair.”",Viral image,false,Fake,0
Tom Kertscher,"February 10, 2021","""The Biden family is so heavily invested in oil and energy in other countries.""",Facebook posts,barely-true,Fake,0
Daniel Funke,"February 10, 2021",“Not one court has looked at the evidence and said that Biden legally won” the presidential election.,Facebook posts,pants-fire,Fake,0
Amy Sherman,"February 10, 2021","“If you're making less than $15 an hour, you're living below the poverty wage.”",Joe Biden,half-true,Real,1
Ciara O'Rourke,"February 10, 2021",Photo shows Tampa Mayor Jane Castor maskless at Super Bowl.,Viral image,false,Fake,0
Samantha Putterman,"February 9, 2021",Says Cracker Barrel’s name has racist origins and its logo depicts a whip.,Facebook posts,false,Fake,0
Daniel Funke,"February 9, 2021","""Trump Won Two-Thirds of Election Lawsuits Where Merits Considered""",Bloggers,false,Fake,0
Bill McCarthy,"February 9, 2021",“Only one person died on that day” during the Jan. 6 U.S. Capitol riot.,Greg Kelly,false,Fake,0
Jill Terreri,"• February 9,",The COVID-19 vaccine “went out for distribution” in Nebraska “days before the FDA even said they were going to approve it.”,Lee Merritt,false,Fake,0
Noah Y.,"• February 9,","“Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president.",Facebook posts,pants-fire,Fake,0
Jill Terreri,"• February 9,",“But we’re below the national average in number of deaths in nursing homes.”,Andrew Cuomo,mostly-true,Real,1
Ciara O'Rourke,"February 9, 2021",Photo shows Joe Biden asleep at his desk.,Viral image,false,Fake,0
Amy Sherman,"February 9, 2021","“More than 200,000 DACA recipients are essential infrastructure workers” including “41,700 DACA recipients in the healthcare industry”",Richard Durbin,mostly-true,Real,1
Bill McCarthy,"February 9, 2021","Says Joe Biden said, “Buy a man eat fish, he day, teach fish man, to a lifetime.""",Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"February 9, 2021",Michelle Obama earned a doctorate after leaving the White House.,Viral image,false,Fake,0
Samantha Putterman,"February 9, 2021",“Pfizer and Moderna could share their design with dozens of other pharma companies who stand ready to produce their vaccines and end the pandemic.”,Facebook posts,barely-true,Fake,0
Bill McCarthy,"February 8, 2021","""Satan flashed in the halftime Super Bowl satanic ritual.""",Facebook posts,false,Fake,0
Noah Y.,"• February 8,","“New evidence ties COVID-19 creation to research funded by Fauci""",WorldNetDaily,false,Fake,0
Ciara O'Rourke,"February 8, 2021","“Shell Oil laying off 9,000 workers” because of Joe Biden.",Facebook posts,false,Fake,0
Ciara O'Rourke,"February 8, 2021",“Military rescues tortured children from tunnel beneath Capitol Hill.”,Bloggers,pants-fire,Fake,0
Victoria Knight,"February 8, 2021",“Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”,Steve Scalise,barely-true,Fake,0
Tom Kertscher,"February 8, 2021",“Doctor proves masks don’t work” by vaping through them.,Facebook posts,false,Fake,0
Madison Czopek,"February 5, 2021","""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",Bloggers,false,Fake,0
Paul Specht,"February 5, 2021",Says North Carolina bill to require in-person learning is “stripping out some of the health protocols that are in place.”,Roy Cooper,half-true,Real,1
Clara Hendrickson,"February 5, 2021",“Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.”,The Gateway Pundit,false,Fake,0
Tom Kertscher,"February 5, 2021",Seniors around the world who died from COVID vaccine are being improperly listed as “natural causes.”,Facebook posts,false,Fake,0
Jon Greenberg,"February 5, 2021","Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",DCCC,barely-true,Fake,0
Jon Greenberg,"February 5, 2021","States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",Rick Scott,barely-true,Fake,0
Tom Kertscher,"February 5, 2021","“A Miracle! Only 23 Americans Tested Positive for Flu Last Week Compared to 14,657 Cases Reported Last Year at Same Time.”",Facebook posts,half-true,Real,1
Brandon Mulder,"February 5, 2021",Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,John Kerry,false,Fake,0
Louis Jacobson,"February 5, 2021","Under the 2017 tax law, “people who make under $75,000 will have their taxes raised in 2021 and every 2 years after that until 2027.”",Facebook posts,barely-true,Fake,0
John Pullano,"February 5, 2021","""The (Erie Co., N.Y.) health commissioner makes more than the governor, the vice president of the United States, and has a salary that is comparable to Dr. Anthony Fauci.”",Stefan Mychajliw,mostly-true,Real,1
Warren Fiske,"February 5, 2021",On accepting corporate PAC donations,Elaine Luria,full-flop,Fake,0
Seth Taylor,"February 4, 2021","The school voucher bill the Iowa Legislature is considering would ""give your education tax dollars to corporations.""",Christina Blackcloud,mostly-true,Real,1
Ciara O'Rourke,"February 4, 2021","“Trump assassination foiled, Deep State in panic mode!”",Bloggers,false,Fake,0
Daniel Funke,"February 4, 2021",Photo shows Democratic protesters who “stormed the U.S. Capitol in 2018.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"February 4, 2021","Says Denzel Washington said, “I support police over BLM, don’t put them down!”",Bloggers,barely-true,Fake,0
Noah Y.,"• February 4,",“I don’t even know what (QAnon) is.”,Kevin McCarthy,false,Fake,0
Samantha Putterman,"February 4, 2021",Says Joe Biden “has officially lowered the age of consent to 5 years old.”,Instagram posts,pants-fire,Fake,0
Daniel Funke,"February 4, 2021","Joe Biden ""really did wipe away"" student loan debt.",Facebook posts,false,Fake,0
Eric Litke,"February 3, 2021",Gov. Tony Evers “has the authority and revenue necessary” to upgrade the Wisconsin unemployment system without the Legislature.,Jim Steineke,barely-true,Fake,0
Ciara O'Rourke,"February 3, 2021",The White House was dark for 10 nights in a row.,Viral image,false,Fake,0
Ciara O'Rourke,"February 3, 2021",“US Capitol raided 2/2/21.”,YouTube videos,false,Fake,0
Miriam Valverde,"February 3, 2021","""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",Tom Cotton,false,Fake,0
Monique Curet,"February 2, 2021",Says Joe Biden has “allowed males to compete in girls’ sports.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"February 2, 2021",Photo shows Rachel Levine’s family.,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"February 2, 2021",“Myanmar used Dominion Voting Systems.”,Facebook posts,false,Fake,0
Noah Y.,"• February 2,",“Donald Trump is the first president in modern history (who) did not start a new war.”,Donald Trump Jr.,barely-true,Fake,0
Chris Nichols,"February 2, 2021",Facebook tried to “shut down” the campaign to recall California Gov. Gavin Newsom.,Bloggers,false,Fake,0
Tom Kertscher,"February 2, 2021",Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.,Facebook posts,barely-true,Fake,0
Ciara O'Rourke,"February 2, 2021","H&M advertised a sweatshirt that said, “Koolest Kid in the Klan.”",Viral image,false,Fake,0
Madison Black,"February 2, 2021","Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",Chuck Grassley,true,Real,1
Laura Schulte,"February 2, 2021","""The Legislature spent the last decade passing laws deliberately making it even harder for people to access these critical supports when they need it most, exacerbating the problems with our already-outdated system.”",Tony Evers,half-true,Real,1
Paul Specht,"February 2, 2021","North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",Jenna Wadsworth,true,Real,1
Noah Y.,"• February 1,",“The Biden administration lost 20 million COVID vaccines.”,Ryan Fournier,false,Fake,0
Bill McCarthy,"February 1, 2021","Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",Facebook posts,barely-true,Fake,0
Tom Kertscher,"February 1, 2021",An “audit report” found that a voting system used in Michigan in the 2020 presidential election was designed to “create systemic fraud.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"February 1, 2021",“WHO now saying you do not need to wear a mask.”,Bloggers,false,Fake,0
Jon Greenberg,"January 29, 2021",Masks have negative impacts on 68% of children.,Instagram posts,false,Fake,0
Samantha Putterman,"January 29, 2021",Says Joe Biden’s inauguration was fake and he is not the legitimate president.,Facebook posts,pants-fire,Fake,0
Tom Kertscher,"January 29, 2021","Says Joe Biden said, “I don’t know what I’m signing,” while signing a document.",Facebook posts,false,Fake,0
Tom Kertscher,"January 29, 2021",“U.S. military at the White House arresting Congress.”,Facebook posts,pants-fire,Fake,0
Miriam Valverde,"January 29, 2021","""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",Marco Rubio,false,Fake,0
Brandon Mulder,"January 29, 2021","Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",Kevin Brady,half-true,Real,1
Jon Greenberg,"January 29, 2021",“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,Joe Biden,mostly-true,Real,1
Tom Kertscher,"January 29, 2021",Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.,Facebook posts,false,Fake,0
Madison Czopek,"January 29, 2021","""In March 2020 the United States deployed 30,000 troops to Europe to ... free child-trafficked children and arrest deep state cabal members.""",Facebook posts,false,Fake,0
Daniel Funke,"January 28, 2021",Says Joe Biden is “following through with a fracking ban.”,Facebook posts,barely-true,Fake,0
Tom Kertscher,"January 28, 2021","Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",Facebook posts,barely-true,Fake,0
Louis Jacobson,"January 28, 2021",“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,Facebook posts,false,Fake,0
Eric Litke,"January 28, 2021",“The U.S. Senate cannot convict a former President.”,Scott Walker,barely-true,Fake,0
Samantha Putterman,"January 28, 2021","Says Facebook recently logged users out to track their “off Facebook activity” involving bank accounts, emails and other apps.",Facebook posts,false,Fake,0
Daniel Funke,"January 28, 2021","""Joe Biden admits he is governing like a 'dictator.'""",Charlie Kirk,false,Fake,0
Warren Fiske,"January 28, 2021","“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",Jennifer Boysko,true,Real,1
Eric Litke,"January 27, 2021",Assembly Republicans “have come to the table” and were part of “give and take” compromise on a coronavirus bill.,Jim Steineke,false,Fake,0
Daniel Funke,"January 27, 2021",Says Bill Gates said “at least 3 billion people need to die” from the planet.,Instagram posts,false,Fake,0
Miriam Valverde,"January 27, 2021","Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",Marco Rubio,true,Real,1
Samantha Putterman,"January 27, 2021",Says Biden's Rolex belonged to his late son Beau.,Facebook posts,false,Fake,0
Amy Sherman,"January 27, 2021","""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",Ron Klain,barely-true,Fake,0
Paul Specht,"January 27, 2021",Says the number of spoiled coronavirus vaccines in North Carolina is “very small ... in the tens.”,Mandy Cohen,half-true,Real,1
Tom Kertscher,"January 26, 2021",Says Donald Trump offered his hotel “to our troops to sleep in after they were put in a car garage.”,Facebook posts,false,Fake,0
Noah Y.,"• January 26,",Hank Aaron’s death was caused by a COVID-19 vaccine.,Facebook posts,false,Fake,0
Landon Allison,"January 26, 2021","“New York leads the nation in out-migration of residents, with 126,000 people leaving last year and over one million in the past decade.”",James Tedisco,half-true,Real,1
Tom Kertscher,"January 26, 2021",Says a video shows Joe Biden boasted in 2006 “about voting for ‘700 miles of fence’” and “talking about immigration in some entirely different ways than he does today.”,Facebook posts,half-true,Real,1
Jill Terreri,"• January 26,","“We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports.”",Colin Schmitt,barely-true,Fake,0
Daniel Funke,"January 26, 2021","“I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.”",L. Lin Wood,pants-fire,Fake,0
Jon Greenberg,"January 26, 2021","The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",Rick Scott,barely-true,Fake,0
Haley BeMiller,"January 26, 2021","""We put $330 million in general school aids — the largest in more than a decade.""",Tony Evers,true,Real,1
Daniel Funke,"January 25, 2021","Joe Biden was sworn in on a ""Masonic/Illuminati Bible.""",Facebook posts,pants-fire,Fake,0
Tom Kertscher,"January 25, 2021",Says Maxine Waters said Trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,Facebook posts,barely-true,Fake,0
Monique Curet,"January 25, 2021",Says President Joe Biden sparked a migrant caravan from Honduras and questioned the loyalty of U.S. troops at the inauguration.,Restoration PAC,barely-true,Fake,0
Ciara O'Rourke,"January 25, 2021",Photos show Joe Biden with a “Chinese handler.”,Viral image,pants-fire,Fake,0
D.L. Davis,"January 25, 2021","A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.""",Glenn Grothman,false,Fake,0
Madison Czopek,"January 22, 2021",Says the Biden administration labeled Libertarians terrorists.,"Jeremy ""Spike"" Cohen",false,Fake,0
Samantha Putterman,"January 22, 2021",National Guard members turned their backs on Biden’s motorcade on Inauguration Day.,Instagram posts,false,Fake,0
Bill McCarthy,"January 22, 2021",Video shows Biden saying “salute the Marines” after hearing the words in an earpiece before his inauguration.,X posts,false,Fake,0
Bill McCarthy,"January 22, 2021","“Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,false,Fake,0
Clara Hendrickson,"January 22, 2021","In Michigan, “we were able to really flatten” the racial disparity in COVID-19’s impact “and make significant progress.”",Garlin Gilchrist,mostly-true,Real,1
Daniel Funke,"January 22, 2021","On Inauguration Day, Vice President Kamala Harris “put her clutch on top of the Bible so her hand is not touching it.”",Facebook posts,pants-fire,Fake,0
Noah Y.,"• January 22,",“WHO admits their testing grossly overstates individuals testing positive for COVID.”,The Gateway Pundit,false,Fake,0
Samantha Putterman,"January 22, 2021",“Go to antifa.com and it takes you to Biden’s White House! … Just a slap in the face.”,Facebook posts,half-true,Real,1
Daniel Funke,"January 21, 2021","""By revoking the Keystone pipeline permit, Biden is destroying 11,000 jobs.”",Facebook posts,half-true,Real,1
Ciara O'Rourke,"January 21, 2021","“Military tribunals start Jan. 20, 2021.”",Facebook posts,pants-fire,Fake,0
Bill McCarthy,"January 21, 2021","Says Joe Biden and Democrats ""have not legitimately won"" the presidency.",Rush Limbaugh,pants-fire,Fake,0
Samantha Putterman,"January 21, 2021","Says Biden had to take a private plane to D.C. instead of a government plane “because they know he’s not a legitimate president” and ""the military is now responsible for restoring legitimate civilian government.”",Facebook posts,false,Fake,0
Jessica Calefati,"January 21, 2021",“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Pat Toomey,true,Real,1
Brandon Mulder,"January 21, 2021","Says that the Paris Climate Accord will cost the U.S. economy ""6.5 million jobs and $3 trillion in economic growth by 2040.""",Wayne Christian,half-true,Real,1
Ciara O'Rourke,"January 21, 2021",Says Joe Exotic was pardoned.,Facebook posts,false,Fake,0
Monique Curet,"January 21, 2021",A photo caption says vendors named “Nah” and “Stop asking me questions before you get your a-- kicked” sold Trump-themed merchandise to “stupid” people outside the U.S. Capitol on Jan. 6.,Instagram posts,pants-fire,Fake,0
Ciara O'Rourke,"January 20, 2021",“Military brass band plays ‘Hit the Road Jack’ as Trump leaves office.”,YouTube videos,false,Fake,0
Ciara O'Rourke,"January 20, 2021","Donald Trump’s letter to Joe Biden said, “You know I won.”",Bloggers,false,Fake,0
Bill McCarthy,"January 20, 2021",A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.,Jordan Rachel,false,Fake,0
Warren Fiske,"January 20, 2021",Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,Kirk Cox,true,Real,1
Eric Litke,"January 20, 2021",“Wisconsin is second to last in the Midwest in our vaccination rate and the governor says he’s ‘satisfied.’”,Rebecca Kleefisch,mostly-true,Real,1
Daniel Funke,"January 19, 2021","""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",L. Lin Wood,false,Fake,0
Monique Curet,"January 19, 2021","The COVID-19 vaccine is dangerous because 23 people died in Norway ""within hours” of receiving it.",Facebook posts,barely-true,Fake,0
Julia Shanahan,"January 18, 2021",Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,Donald Trump,false,Fake,0
Daniel Funke,"January 18, 2021",“Barack Obama was arrested.”,Facebook posts,pants-fire,Fake,0
Bill McCarthy,"January 18, 2021",President Donald Trump “can’t say anything (about the U.S. Capitol riot) because the platforms have removed him.”,Hogan Gidley,false,Fake,0
Daniel Funke,"January 18, 2021",A video shows Joe Biden lost and confused on stage.,Donald Trump Jr.,pants-fire,Fake,0
Tom Kertscher,"January 18, 2021","“CNN-NPR photojournalist Jade Sacker was embedded with antifa leader"" during the U.S. Capitol attack.",Facebook posts,barely-true,Fake,0
Samantha Putterman,"January 17, 2021","Says Gen. David H. Berger, commandant of the U.S. Marine Corps., refused Nancy Pelosi’s request to use the Marines for inauguration security, telling her “we don’t work for you.”",Bloggers,false,Fake,0
Jessica Calefati,"January 17, 2021",Says unproven voter fraud claims didn’t play “any role” in the Capitol riot.,Jake Corman,pants-fire,Fake,0
Amy Sherman,"January 16, 2021","“Inauguration Cancelled, Trump Remains in Office.”",Facebook posts,pants-fire,Fake,0
Miriam Valverde,"January 16, 2021",Says a photo shows armed soldiers protecting Joe Biden’s inauguration.,Facebook posts,barely-true,Fake,0
Tom Kertscher,"January 16, 2021",Says Joe Biden stayed silent about violence at Black Lives Matter protests.,Instagram posts,false,Fake,0
Brandon Mulder,"January 15, 2021",Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,Jon Rosenthal,mostly-true,Real,1
Warren Fiske,"January 15, 2021",“Antifa is the culprit” in the Capitol riot.,Amanda Chase,pants-fire,Fake,0
Eric Litke,"January 15, 2021","""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",Devin LeMahieu,true,Real,1
Tom Kertscher,"January 15, 2021",“Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,Facebook posts,barely-true,Fake,0
Samantha Putterman,"January 15, 2021",A photo shows Democratic lawmakers wearing clothing and masks with the Nazi swastika.,Viral image,pants-fire,Fake,0
Nusaiba Mizan,"January 15, 2021","“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Sarah Godlewski,true,Real,1
Samantha Putterman,"January 14, 2021","Photo shows Rep. Lauren Boebert with Capitol rioters before she gave them a tour of the building ""one day before the insurrection.""",Facebook posts,false,Fake,0
Noah Y.,"• January 14,",Antifa provoked the shooting of Ashli Babbitt at the Capitol.,Bloggers,pants-fire,Fake,0
Bill McCarthy,"January 14, 2021",Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,Facebook posts,barely-true,Fake,0
Jill Terreri,"• January 14,","“There were several states where outside actors dramatically changed the rules of the road, so to speak, two weeks out, one week out, on how elections would be run.”",Chris Jacobs,barely-true,Fake,0
Chris Nichols,"January 14, 2021","The effort to recall California Gov. Gavin Newsom is ""a coup.""",Rusty Hicks,pants-fire,Fake,0
Samantha Putterman,"January 13, 2021",Says President Trump has ordered the military to take over “major corrupt cities” to stay in office and that U.S. citizens will receive emergency alerts on their devices.,Facebook posts,pants-fire,Fake,0
Louis Jacobson,"January 13, 2021",The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,Jake Tapper,true,Real,1
Ciara O'Rourke,"January 13, 2021","Says Alexandria Ocasio-Cortez tweeted, “Let’s begin ‘The Purge’ to roundup all Conservative traitors.”",Viral image,pants-fire,Fake,0
Amy Sherman,"January 13, 2021",“Republicans have no way to communicate” after tech companies cut off Parler.,Devin Nunes,false,Fake,0
Bill McCarthy,"January 12, 2021","Says Joe Biden is on video ""admitting to"" election fraud in a ""confession.""",Greg Kelly,false,Fake,0
Noah Y.,"• January 12,","“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",Facebook posts,barely-true,Fake,0
Samantha Putterman,"January 12, 2021",Nancy Pelosi is no longer the Speaker of the House,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 12, 2021",NPR posted a story about the Capitol breach before it happened.,Viral image,false,Fake,0
Daniel Funke,"January 11, 2021","A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",Facebook posts,barely-true,Fake,0
Ciara O'Rourke,"January 11, 2021",Says Mike Pence changed “his Twitter banner photo to Biden and Harris.”,Viral image,false,Fake,0
Jon Greenberg,"January 11, 2021","Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",Sherrod Brown,true,Real,1
Ciara O'Rourke,"January 11, 2021",Video shows man upset because he was added to the no-fly list for storming the Capitol.,Facebook posts,false,Fake,0
Sarah Watson,"January 11, 2021","Before COVID-19,  “more Iowans (were) working than at any other time in our state history.""",Kim Reynolds,true,Real,1
Samantha Putterman,"January 11, 2021","""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",Bloggers,false,Fake,0
Noah Y.,"• January 11,","Says Pope Francis “was arrested Saturday in connection with an 80-count indictment of charges including possession of child pornography, human trafficking, incest, possession of drug paraphernalia and felony fraud.”",Conservative Beaver,pants-fire,Fake,0
Ciara O'Rourke,"January 11, 2021",Says Nancy Pelosi sent a letter to Portland’s mayor after demonstrations there “urging him to stick to the proven Democratic Play book.”,Viral image,false,Fake,0
Bill McCarthy,"January 9, 2021",Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,Facebook posts,barely-true,Fake,0
Eric Litke,"January 8, 2021",“The DC looting was staged” by antifa,Jonathan Wichmann,pants-fire,Fake,0
Noah Y.,"• January 8,",An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,Facebook posts,barely-true,Fake,0
Louis Jacobson,"January 8, 2021","""This election actually was not unusually close.""",Mitch McConnell,true,Real,1
Daniel Funke,"January 8, 2021","32,000 votes for David Perdue “disappeared” during the Georgia Senate runoff election.",Facebook posts,barely-true,Fake,0
Amy Sherman,"January 8, 2021","“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”",Josh Hawley,barely-true,Fake,0
William Skipworth,"January 8, 2021","Says activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”",Josh Hawley,barely-true,Fake,0
Amy Sherman,"January 8, 2021","In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",Joe Biden,true,Real,1
Ciara O'Rourke,"January 8, 2021","A CNN chyron said, “Antifa has just taken responsibility for storming Capital Hill.”",Viral image,false,Fake,0
Ciara O'Rourke,"January 8, 2021",Says Mike Pence was arrested.,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 8, 2021","“The FBI just confirmed that it was ANTIFA, not Trump supporters, who breached the Capitol.”",Viral image,pants-fire,Fake,0
Samantha Putterman,"January 8, 2021",The Simpsons predicted the Capitol riots,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"January 8, 2021",Kamala Harris is planning to use the 25th Amendment against Joe Biden and appoint Mike Pence as her vice president.,Facebook posts,false,Fake,0
Brandon Mulder,"January 8, 2021",Says that “those who stormed the capitol yesterday were not Trump supporters. They have been confirmed to be Antifa.”,Ken Paxton,pants-fire,Fake,0
Eric Litke,"January 8, 2021","The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police.",Jonathan Brostoff,false,Fake,0
Ciara O'Rourke,"January 7, 2021",The storming of the Capitol was staged.,Instagram posts,false,Fake,0
Samantha Putterman,"January 7, 2021",Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”,Facebook posts,barely-true,Fake,0
Miriam Valverde,"January 7, 2021",“Evidence growing that fascist ANTIFA orchestrated Capitol attack with clever mob control tactics.”,Mo Brooks,pants-fire,Fake,0
Ciara O'Rourke,"January 7, 2021","Video shows police removing disabled protesters from the Capitol on Jan. 6, 2021.",Viral image,false,Fake,0
Tom Kertscher,"January 7, 2021","Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots.",Facebook posts,barely-true,Fake,0
Ciara O'Rourke,"January 7, 2021",A facial recognition firm “confirmed antifa infiltrated the Trump rally in D.C.”,Facebook posts,false,Fake,0
Bill McCarthy,"January 7, 2021",A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"January 7, 2021",“Georgia and Kansas Capitol buildings have been stormed by protesters.”,Facebook posts,false,Fake,0
Daniel Funke,"January 7, 2021","""We won. We won in a landslide. This was a landslide.”",Donald Trump,pants-fire,Fake,0
Chris Nichols,"January 7, 2021","""Antifa"" is to blame for storming the U.S. Capitol.",Shannon Grove,pants-fire,Fake,0
Ciara O'Rourke,"January 6, 2021","Google and Apple maps won’t give directions to Washington, D.C. because “they don’t want you going to a certain big rally.”",Facebook posts,barely-true,Fake,0
Miriam Valverde,"January 6, 2021","“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""",Ted Cruz,barely-true,Fake,0
Eric Litke,"January 6, 2021","“Judge Rules Over 200,000 Biden Votes Are Illegitimate In Wisconsin.”",Facebook posts,false,Fake,0
Ciara O'Rourke,"January 6, 2021",Photo shows “2 sitting senators counting ballots” in Georgia.,Viral image,false,Fake,0
